human_agambiae.blast	agambiae_human.blast	A. gambiae
human_amellifera.blast	amellifera_human.blast	A. mellifera
human_apissum.blast	apissum_human.blast	A. pisum
human_bterrestris.blast	bterrestris_human.blast	B. terrestris
human_d_melanogaster.blast	d_melanogaster_human.blast	D. melanogaster
human_m_sexta.blast	m_sexta_human.blast	M. sexta
human_mmusculus.blast	mmusculus_human.blast	M. musculus
human_n_vitripennis.blast	n_vitripennis_human.blast	N. vitripennis
human_o_biroi.blast	o_biroi_human.blast	O. biroi
human_p_humanus.blast	p_humanus_human.blast	P. humanus
human_s_invicta.blast	s_invicta_human.blast	S. invicta
human_t_castaneum.blast	t_castaneum_human.blast	T. castaneum
