human_ID	insect_ID.x	pident.x	pident.y	evalue.x	bitscore.x	bitscore.y	locus	species	number	origin
5_29768	0_4793	36.2	36.2	8.3e-99	357.8	357.8	BBS1	A. Gambiae	1	OrthoFinder
5_29768	1_6684	32.3	32.3	9.8e-76	281.2	293.9	BBS1	A. Mellifera	1	OrthoFinder
5_29768	2_14008	30.5	30.5	2.4e-66	250.4	255.8	BBS1	A. Pisum	1	OrthoFinder
5_29768	3_11524	30.1	30.1	1e-67	254.6	264.6	BBS1	B. Terrestris	1	OrthoFinder
5_29768	4_10302	29.1	29.1	1.7e-70	263.8	267.3	BBS1	D. Melanogaster	1	OrthoFinder
5_29768	6_807	92.2	92.2	1.20000000000606e-313	1073.2	1070.1	BBS1	M. Musculus	1	OrthoFinder
5_29768	7_2105	34.6	34.6	1.2e-91	334.3	331.6	BBS1	M. Sexta	1	OrthoFinder
5_29768	8_6589	33.3	33.3	7.3e-71	265.4	268.9	BBS1	N. Vitripennis	1	OrthoFinder
5_29768	9_10582	32.6	32.6	2.1e-74	276.9	283.1	BBS1	O. Biroi	1	OrthoFinder
5_29768	10_987	37.9	37.9	1e-101	367.1	368.6	BBS1	P. Humanus	1	OrthoFinder
5_29768	11_6400	32.6	32.6	4.7e-73	272.7	274.6	BBS1	S. Invicta	1	OrthoFinder
5_29768	12_13991	33.5	33.5	6e-92	335.1	340.1	BBS1	T. Castaneum	1	OrthoFinder
5_18205	0_10634	35.4	35.4	2.7e-128	456.1	458	BBS2	A. Gambiae	2	OrthoFinder
5_18205	1_10979	37.9	37.9	2.1e-136	483	482.6	BBS2	A. Mellifera	2	OrthoFinder
5_18205	2_16429	41.6	41.6	7.5e-131	464.9	459.9	BBS2	A. Pisum	2	OrthoFinder
5_18205	3_1811	37.2	37.2	2e-134	476.5	474.6	BBS2	B. Terrestris	2	OrthoFinder
5_18205	6_19471	90	90	0	1311.2	1313.9	BBS2	M. Musculus	2	OrthoFinder
5_18205	7_5395	40.2	40.2	1.2e-146	517.3	514.2	BBS2	M. Sexta	2	OrthoFinder
5_18205	8_2741	37.1	37.1	1.3e-127	454.1	459.5	BBS2	N. Vitripennis	2	OrthoFinder
5_18205	9_6097	37.4	37.4	5.9e-132	468.4	466.8	BBS2	O. Biroi	2	OrthoFinder
5_18205	10_126	42.8	42.8	7.2e-166	580.5	576.2	BBS2	P. Humanus	2	OrthoFinder
5_18205	11_2482	38.9	38.9	5.6e-137	485.3	484.6	BBS2	S. Invicta	2	OrthoFinder
5_18205	12_10818	48.3	48.3	2.3e-191	665.6	666	BBS2	T. Castaneum	2	OrthoFinder
5_30864	0_8282	36.1	36.1	4.6e-69	258.8	255.4	BBS4	A. Gambiae	4	OrthoFinder
5_30864	1_5554	43.1	43.1	1.8e-89	326.6	322.8	BBS4	A. Mellifera	4	OrthoFinder
5_30864	2_17013	38.4	38.4	2.3e-57	220.3	219.2	BBS4	A. Pisum	4	OrthoFinder
5_30864	3_4689	41.6	41.6	7.1e-89	324.7	322	BBS4	B. Terrestris	4	OrthoFinder
5_30864	4_9241	33.1	33.1	2.8e-61	233	228.8	BBS4	D. Melanogaster	4	OrthoFinder
5_30864	6_25568	85.6	85.6	2.6e-247	852.4	855.5	BBS4	M. Musculus	4	OrthoFinder
5_30864	7_11470	29.5	29.5	5.9e-18	89.4	86.3	BBS4	M. Sexta	4	OrthoFinder
5_30864	8_13706	42	42	9.1e-86	314.7	307	BBS4	N. Vitripennis	4	OrthoFinder
