human_ID	insect_ID.x	pident.x	pident.y	evalue.x	bitscore.x	bitscore.y	locus	species	number	origin
NP_078925.3	XP_308406.4	36.577	36.242	1.97e-122	373	361	BBS1	A. Gambiae	1	BLASTP
NP_078925.3	XP_026294730.1	32.461	0	1.41e-81	280	NA	BBS1	A. Mellifera	1	BLASTP
NP_078925.3	XP_016660355.2	30.809	30.809	2.6e-84	275	266	BBS1	A. Pisum	1	BLASTP
NP_078925.3	XP_048266769.1	31.552	31.724	2.61e-84	275	283	BBS1	B. Terrestris	1	BLASTP
NP_078925.3	NP_648080.1	29.519	29.703	5.32e-85	277	258	BBS1	D. Melanogaster	1	BLASTP
NP_078925.3	NP_001028300.1	92.586	92.586	0	1114	1092	BBS1	M. Musculus	1	BLASTP
NP_078925.3	XP_030023510.1	34.564	34.564	8.28e-111	345	330	BBS1	M. Sexta	1	BLASTP
NP_078925.3	XP_008208801.1	33.161	33.161	2.85e-88	285	278	BBS1	N. Vitripennis	1	BLASTP
NP_078925.3	XP_026824793.1	32.348	32.696	2.31e-87	282	286	BBS1	O. Biroi	1	BLASTP
NP_078925.3	XP_002423536.1	38.475	38.475	2.58e-130	392	382	BBS1	P. Humanus	1	BLASTP
NP_078925.3	XP_011172105.3	32.241	32.461	7.02e-85	276	281	BBS1	S. Invicta	1	BLASTP
NP_078925.3	XP_974799.1	34.596	33.506	4.69e-112	347	337	BBS1	T. Castaneum	1	BLASTP
NP_001364385.1	XP_318670.4	35.488	35.488	7.71e-150	452	466	BBS2	A. Gambiae	2	BLASTP
NP_001364385.1	XP_396279.3	37.586	37.586	1.33e-168	501	501	BBS2	A. Mellifera	2	BLASTP
NP_001364385.1	XP_029342144.1	41.734	41.734	9.6e-162	481	481	BBS2	A. Pisum	2	BLASTP
NP_001364385.1	XP_003397009.2	36.9	36.9	1.06e-165	493	493	BBS2	B. Terrestris	2	BLASTP
NP_001364385.1	NP_080392.1	90.014	90.014	0	1370	1370	BBS2	M. Musculus	2	BLASTP
NP_001364385.1	XP_030030247.2	40.358	40.634	1.6e-179	529	536	BBS2	M. Sexta	2	BLASTP
NP_001364385.1	XP_001604585.1	37.244	37.244	8.12e-160	479	479	BBS2	N. Vitripennis	2	BLASTP
NP_001364385.1	XP_011344798.1	37.363	37.363	2.63e-164	489	489	BBS2	O. Biroi	2	BLASTP
NP_001364385.1	XP_002422674.1	43.191	43.31	0	601	607	BBS2	P. Humanus	2	BLASTP
NP_001364385.1	XP_011161767.1	39.106	39.106	5.64e-171	507	507	BBS2	S. Invicta	2	BLASTP
NP_001364385.1	XP_967756.1	48.324	48.324	0	688	688	BBS2	T. Castaneum	2	BLASTP
NP_149017.2	XP_314365.4	36.768	36.768	2.21e-85	270	249	BBS4	A. Gambiae	4	BLASTP
NP_149017.2	XP_016767911.1	43.326	43.326	4.76e-110	335	314	BBS4	A. Mellifera	4	BLASTP
NP_149017.2	XP_029343020.1	38.961	38.961	5.54e-69	224	210	BBS4	A. Pisum	4	BLASTP
NP_149017.2	XP_012164189.1	42.118	42.118	5.49e-102	314	311	BBS4	B. Terrestris	4	BLASTP
NP_149017.2	NP_610636.1	34.783	34.783	4.16e-73	240	226	BBS4	D. Melanogaster	4	BLASTP
NP_149017.2	NP_780534.1	88.676	88.676	0	909	909	BBS4	M. Musculus	4	BLASTP
NP_149017.2	XP_037294995.1	32.659	32.659	1.1e-41	155	173	BBS4	M. Sexta	4	BLASTP
NP_149017.2	XP_008208516.2	43.237	43.237	1.9e-103	318	310	BBS4	N. Vitripennis	4	BLASTP
NP_149017.2	XP_011337665.1	41.707	41.707	4.08e-97	301	292	BBS4	O. Biroi	4	BLASTP
NP_149017.2	XP_002426816.1	38.366	38.366	2.1e-91	283	259	BBS4	P. Humanus	4	BLASTP
NP_149017.2	XP_039305694.1	40.952	40.952	5.03e-100	309	300	BBS4	S. Invicta	4	BLASTP
NP_149017.2	XP_015836803.1	43.447	43.447	7.94e-109	332	311	BBS4	T. Castaneum	4	BLASTP
NP_689597.1	XP_321845.5	49.853	49.853	1.06e-124	360	360	BBS5	A. Gambiae	5	BLASTP
NP_689597.1	XP_623893.3	50	50	3.44e-113	332	332	BBS5	A. Mellifera	5	BLASTP
NP_689597.1	XP_001950826.2	49.258	49.258	7.51e-124	360	360	BBS5	A. Pisum	5	BLASTP
NP_689597.1	XP_003402342.1	48.802	48.802	1.7e-115	338	338	BBS5	B. Terrestris	5	BLASTP
NP_689597.1	NP_649499.1	45.125	46.24	1.3e-108	322	331	BBS5	D. Melanogaster	5	BLASTP
NP_689597.1	NP_082560.1	96.481	96.481	0	688	688	BBS5	M. Musculus	5	BLASTP
NP_689597.1	XP_037302232.1	50.148	50.148	7.82e-121	352	352	BBS5	M. Sexta	5	BLASTP
NP_689597.1	XP_016837513.1	51.19	51.19	3.7e-124	361	361	BBS5	N. Vitripennis	5	BLASTP
NP_689597.1	XP_026829721.1	50	50	4.37e-114	334	334	BBS5	O. Biroi	5	BLASTP
NP_689597.1	XP_002432749.1	58.754	58.754	4.22e-145	413	413	BBS5	P. Humanus	5	BLASTP
NP_689597.1	XP_039314617.1	49.845	49.845	6.91e-109	321	321	BBS5	S. Invicta	5	BLASTP
NP_689597.1	XP_966616.1	59.104	59.104	4.37e-146	415	415	BBS5	T. Castaneum	5	BLASTP
NP_061336.1	XP_312164.4	20.985	0	7.5e-13	70.1	NA	BBS6	A. Gambiae	6	BLASTP
NP_061336.1	XP_623672.1	21.849	0	7.06e-11	65.1	NA	BBS6	A. Mellifera	6	BLASTP
NP_061336.1	XP_001944638.1	20.438	0	3.97e-09	59.3	NA	BBS6	A. Pisum	6	BLASTP
NP_061336.1	XP_003400906.2	21.639	0	9.53e-11	64.7	NA	BBS6	B. Terrestris	6	BLASTP
NP_061336.1	NP_001189236.1	19.902	0	1.11e-09	61.6	NA	BBS6	D. Melanogaster	6	BLASTP
NP_061336.1	NP_001135418.1	77.193	77.193	0	924	924	BBS6	M. Musculus	6	BLASTP
NP_061336.1	XP_030035453.2	20.645	0	9.45e-11	64.7	NA	BBS6	M. Sexta	6	BLASTP
NP_061336.1	XP_001602512.1	21.596	0	1.29e-08	58.5	NA	BBS6	N. Vitripennis	6	BLASTP
NP_061336.1	XP_011341985.1	21.14	0	1.46e-09	60.8	NA	BBS6	O. Biroi	6	BLASTP
NP_061336.1	XP_002427863.1	21.29	0	2.42e-10	61.6	NA	BBS6	P. Humanus	6	BLASTP
NP_061336.1	XP_011156248.1	21.853	0	1.6e-11	67.4	NA	BBS6	S. Invicta	6	BLASTP
NP_061336.1	XP_973604.1	20	0	3.49e-09	59.7	NA	BBS6	T. Castaneum	6	BLASTP
NP_789794.1	XP_320627.3	45.553	45.418	0	607	601	BBS7	A. Gambiae	7	BLASTP
NP_789794.1	XP_016769147.2	41.134	40.988	2.87e-168	500	513	BBS7	A. Mellifera	7	BLASTP
NP_789794.1	XP_008182853.1	40.028	40.028	5.21e-175	518	509	BBS7	A. Pisum	7	BLASTP
NP_789794.1	XP_003403199.2	41.134	40.837	3.3e-174	516	512	BBS7	B. Terrestris	7	BLASTP
NP_789794.1	NP_082086.2	91.748	91.748	0	1347	1361	BBS7	M. Musculus	7	BLASTP
NP_060660.2	XP_030036680.2	27.837	27.685	3.75e-70	242	231	BBS7	M. Sexta	7	BLASTP
NP_789794.1	XP_001603197.1	40.797	40.828	2.12e-176	522	531	BBS7	N. Vitripennis	7	BLASTP
NP_789794.1	XP_026825185.1	40.802	40.387	3.14e-173	513	509	BBS7	O. Biroi	7	BLASTP
NP_789794.1	XP_002424262.1	51.31	51.172	0	716	706	BBS7	P. Humanus	7	BLASTP
NP_789794.1	XP_025994810.2	41.436	41.16	9.21e-176	520	516	BBS7	S. Invicta	7	BLASTP
NP_789794.1	XP_008192487.2	48.122	48.122	0	660	666	BBS7	T. Castaneum	7	BLASTP
NP_653197.2	XP_319883.4	40.708	40.708	6.21e-111	336	336	BBS8	A. Gambiae	8	BLASTP
NP_938051.1	XP_397338.3	54.637	54.418	0	585	602	BBS8	A. Mellifera	8	BLASTP
NP_653197.2	XP_029346923.1	47.391	47.391	9.83e-164	472	472	BBS8	A. Pisum	8	BLASTP
NP_938051.1	XP_048262654.1	54.839	54.839	0	592	608	BBS8	B. Terrestris	8	BLASTP
NP_653197.2	NP_608524.1	33.333	33.983	9.13e-72	238	238	BBS8	D. Melanogaster	8	BLASTP
NP_001275710.1	NP_083829.1	91.149	91.149	0	1013	1013	BBS8	M. Musculus	8	BLASTP
NP_938052.1	XP_030037828.1	33.741	33.741	4.48e-75	242	242	BBS8	M. Sexta	8	BLASTP
NP_938051.1	XP_001608003.2	57.6	57.6	0	618	618	BBS8	N. Vitripennis	8	BLASTP
NP_938051.1	XP_011331189.1	56.627	56.627	0	594	610	BBS8	O. Biroi	8	BLASTP
NP_938051.1	XP_002431516.1	46.386	46.386	1.25e-173	497	504	BBS8	P. Humanus	8	BLASTP
NP_938051.1	XP_011175686.1	56.627	56.627	0	601	617	BBS8	S. Invicta	8	BLASTP
NP_938051.1	XP_015839343.1	48.472	48.472	2.22e-165	475	475	BBS8	T. Castaneum	8	BLASTP
NP_001028777.1	XP_316226.4	30.055	29.837	1.65e-92	311	312	BBS9	A. Gambiae	9	BLASTP
NP_001028777.1	XP_026299493.1	29.842	29.842	7.57e-93	322	327	BBS9	A. Mellifera	9	BLASTP
NP_001028777.1	XP_008188587.2	29.052	29.052	1e-94	315	315	BBS9	A. Pisum	9	BLASTP
NP_001028777.1	XP_048265899.1	31.007	31.007	9.15e-119	382	382	BBS9	B. Terrestris	9	BLASTP
NP_001028777.1	NP_001137727.2	28.409	28.783	6.18e-90	306	309	BBS9	D. Melanogaster	9	BLASTP
NP_001334970.1	NP_001347188.1	87.232	87.232	0	1614	1614	BBS9	M. Musculus	9	BLASTP
NP_001028777.1	XP_030024756.1	26.982	27.027	1.3e-79	275	288	BBS9	M. Sexta	9	BLASTP
NP_001028777.1	XP_031783660.1	31.808	32.265	1.17e-127	405	424	BBS9	N. Vitripennis	9	BLASTP
NP_940820.1	XP_026823747.1	32.105	32.224	1.98e-120	385	396	BBS9	O. Biroi	9	BLASTP
NP_001028777.1	XP_002427942.1	30.918	30.918	1.83e-120	384	399	BBS9	P. Humanus	9	BLASTP
NP_940820.1	XP_025995392.1	31.765	31.716	5.52e-118	379	390	BBS9	S. Invicta	9	BLASTP
NP_001028777.1	XP_008196466.2	34.386	34.386	2.66e-153	471	471	BBS9	T. Castaneum	9	BLASTP
NP_078961.3	XP_307669.3	22.222	0	3.57e-06	47.8	NA	BBS10	A. Gambiae	10	BLASTP
NP_078961.3	XP_026297640.1	22.472	0	1.63e-05	48.5	NA	BBS10	A. Mellifera	10	BLASTP
NP_078961.3	XP_008180922.1	21.795	0	1.36e-06	51.6	NA	BBS10	A. Pisum	10	BLASTP
NP_078961.3	XP_012165098.1	19.56	0	1.03e-06	52.4	NA	BBS10	B. Terrestris	10	BLASTP
NP_078961.3	NP_523707.1	25.51	0	9.85e-06	49.3	NA	BBS10	D. Melanogaster	10	BLASTP
NP_078961.3	NP_082190.1	67.129	67.129	0	962	962	BBS10	M. Musculus	10	BLASTP
NP_078961.3	XP_030020198.1	27.16	0	1.41e-05	48.5	NA	BBS10	M. Sexta	10	BLASTP
NP_078961.3	NP_001136327.1	20.455	0	7.7e-06	50.1	NA	BBS10	N. Vitripennis	10	BLASTP
NP_078961.3	XP_011333936.1	23.232	0	8.24e-05	46.2	NA	BBS10	O. Biroi	10	BLASTP
NP_078961.3	XP_002429123.1	17.824	0	9.12e-07	50.8	NA	BBS10	P. Humanus	10	BLASTP
NP_078961.3	XP_025987983.1	27.381	0	1.76e-05	48.5	NA	BBS10	S. Invicta	10	BLASTP
NP_078961.3	XP_968355.1	24.242	0	4.97e-06	50.1	NA	BBS10	T. Castaneum	10	BLASTP
NP_001171478.1	XP_312160.4	20.69	0	0.001	41.6	NA	BBS12	A. Gambiae	12	BLASTP
NP_001171478.1	NP_001008502.2	68.873	68.873	0	993	1012	BBS12	M. Musculus	12	BLASTP
NP_001171478.1	XP_030035453.2	24	0	0.000635	43.1	NA	BBS12	M. Sexta	12	BLASTP
NP_001182234.1	XP_003436138.1	55.319	55.319	1.99e-12	57	57.4	BBS18	A. Gambiae	18	BLASTP
NP_001182234.1	NP_001172015.1	53.846	53.846	4.23e-12	56.6	56.6	BBS18	A. Mellifera	18	BLASTP
NP_001182234.1	NP_001163568.1	41.667	41.071	3.9e-06	41.6	42.7	BBS18	D. Melanogaster	18	BLASTP
NP_001182234.1	XP_011343238.1	57.692	57.692	7.64e-16	65.9	65.9	BBS18	O. Biroi	18	BLASTP
NP_001182234.1	XP_011155717.1	51.923	51.923	3.21e-12	57	57.0	BBS18	S. Invicta	18	BLASTP
NP_001182234.1	NP_001171930.1	60	60	5.91e-16	65.9	65.9	BBS18	T. Castaneum	18	BLASTP
