prim_transcript	gene    name    chrom   start   end refseq
x	ENSG00000174483 BBS1    NC_000011.10    66510635    66533598    NP_078925.3
xx	ENSG00000125124	BBS2    NC_000016.10    56470403    56520024    NP_001364385.1  NP_114091.4 (encode the same protein)
xx	ENSG00000138686	BBS7    NC_000004.12    121824329   121870474   NP_060660.2 NP_789794.1 (NP_789794.1 is the longer transcript, both same reading frame)
x	ENSG00000140463	BBS4    NC_000015.10    72686207    72738473    NP_149017.2 NP_001307594.1  NP_001239607.1
x	ENSG00000165533	BBS8    NC_000014.9 88824153    88881079    NP_653197.2 NP_938051.1     NP_938052.1 NP_001275710.1  NP_001275711.1  NP_001275712.1  NP_001353464.1  NP_001353465.1
x	ENSG00000163093	BBS5    NC_000002.12    169479494   169506655   NP_689597.1
0	ENSG00000285508	BBS6    NC_000020.11    10413708    10434222    NP_001381078.1
x	ENSG00000122507	BBS9    NC_000007.14    33129285    33635767    NP_055266.2 NP_940820.1 NP_001028776.1  NP_001028777.1  NP_001334965.1  NP_001334966.1  NP_001334967.1  NP_001334968.1  NP_001334969.1  NP_001334970.1  NP_001334971.1  NP_001334972.1  NP_001334973.1  NP_001334974.1  NP_001334975.1  NP_001349608.1  NP_001399056.1  NP_001399057.1
x	ENSG00000179941	BBS10   NC_000012.12    76344474   76348415  NP_078961.3
xx	ENSG00000181004	BBS12   NC_000004.12    122700442   122744939   NP_001171478.1  NP_689831.2
0	ENSG00000214413	BBS18   NC_000010.11    110898730   110919366   NP_001182233.1  NP_001182234.1  NP_001182235.1  NP_001182236.1  NP_001230712.1 (longest transcript is the first one. The other ones all have a frameshift in comparison but have blast results --> no match when only using the longest transcripts for blasting eventhough it matches)
