"human_ID"	"insect_ID.x"	"pident.x"	"pident.y"	"evalue.x"	"bitscore.x"	"bitscore.y"	"locus"	"species"
"NP_078925.3"	"XP_308406.4"	36.577	36.242	1.97e-122	373	"361"	"BBS1"	"A. gambiae"
"NP_078925.3"	"XP_026294730.1"	32.461	0	1.41e-81	280	NA	"BBS1"	"A. mellifera"
"NP_078925.3"	"XP_016660355.2"	30.809	30.809	2.6e-84	275	"266"	"BBS1"	"A. pissum"
"NP_078925.3"	"XP_048266769.1"	31.552	31.724	2.61e-84	275	"283"	"BBS1"	"B. terrestris"
"NP_078925.3"	"NP_648080.1"	29.519	29.703	5.32e-85	277	"258"	"BBS1"	"D. melanogaster"
"NP_078925.3"	"XP_030023510.1"	34.564	34.564	8.28e-111	345	"330"	"BBS1"	"M. sexta"
"NP_078925.3"	"XP_008208801.1"	33.161	33.161	2.85e-88	285	"278"	"BBS1"	"N. vitripennis"
"NP_078925.3"	"XP_026824793.1"	32.348	32.696	2.31e-87	282	"286"	"BBS1"	"O. biroi"
"NP_078925.3"	"XP_002423536.1"	38.475	38.475	2.58e-130	392	"382"	"BBS1"	"P. humanus"
"NP_078925.3"	"XP_011172105.3"	32.241	32.461	7.02e-85	276	"281"	"BBS1"	"S. invicta"
"NP_078925.3"	"XP_974799.1"	34.596	33.506	4.69e-112	347	"337"	"BBS1"	"T. castaneum"
"NP_001364385.1"	"XP_318670.4"	35.488	35.488	7.71e-150	452	"466"	"BBS2"	"A. gambiae"
"NP_001364385.1"	"XP_396279.3"	37.586	37.586	1.33e-168	501	"501"	"BBS2"	"A. mellifera"
"NP_001364385.1"	"XP_029342144.1"	41.734	41.734	9.6e-162	481	"481"	"BBS2"	"A. pissum"
"NP_001364385.1"	"XP_003397009.2"	36.9	36.9	1.06e-165	493	"493"	"BBS2"	"B. terrestris"
"NP_001364385.1"	"XP_030030247.2"	40.358	40.634	1.6e-179	529	"536"	"BBS2"	"M. sexta"
"NP_001364385.1"	"XP_001604585.1"	37.244	37.244	8.12e-160	479	"479"	"BBS2"	"N. vitripennis"
"NP_001364385.1"	"XP_011344798.1"	37.363	37.363	2.63e-164	489	"489"	"BBS2"	"O. biroi"
"NP_001364385.1"	"XP_002422674.1"	43.191	43.31	0	601	"607"	"BBS2"	"P. humanus"
"NP_001364385.1"	"XP_011161767.1"	39.106	39.106	5.64e-171	507	"507"	"BBS2"	"S. invicta"
"NP_001364385.1"	"XP_967756.1"	48.324	48.324	0	688	"688"	"BBS2"	"T. castaneum"
"NP_149017.2"	"XP_314365.4"	36.768	36.768	2.21e-85	270	"249"	"BBS4"	"A. gambiae"
"NP_149017.2"	"XP_016767911.1"	43.326	43.326	4.76e-110	335	"314"	"BBS4"	"A. mellifera"
"NP_149017.2"	"XP_029343020.1"	38.961	38.961	5.54e-69	224	"210"	"BBS4"	"A. pissum"
"NP_149017.2"	"XP_012164189.1"	42.118	42.118	5.49e-102	314	"311"	"BBS4"	"B. terrestris"
"NP_149017.2"	"NP_610636.1"	34.783	34.783	4.16e-73	240	"226"	"BBS4"	"D. melanogaster"
"NP_149017.2"	"XP_037294995.1"	32.659	32.659	1.1e-41	155	"173"	"BBS4"	"M. sexta"
"NP_149017.2"	"XP_008208516.2"	43.237	43.237	1.9e-103	318	"310"	"BBS4"	"N. vitripennis"
"NP_149017.2"	"XP_011337665.1"	41.707	41.707	4.08e-97	301	"292"	"BBS4"	"O. biroi"
"NP_149017.2"	"XP_002426816.1"	38.366	38.366	2.1e-91	283	"259"	"BBS4"	"P. humanus"
"NP_149017.2"	"XP_039305694.1"	40.952	40.952	5.03e-100	309	"300"	"BBS4"	"S. invicta"
"NP_149017.2"	"XP_015836803.1"	43.447	43.447	7.94e-109	332	"311"	"BBS4"	"T. castaneum"
"NP_689597.1"	"XP_321845.5"	49.853	49.853	1.06e-124	360	"360"	"BBS5"	"A. gambiae"
"NP_689597.1"	"XP_623893.3"	50	50	3.44e-113	332	"332"	"BBS5"	"A. mellifera"
"NP_689597.1"	"XP_001950826.2"	49.258	49.258	7.51e-124	360	"360"	"BBS5"	"A. pissum"
"NP_689597.1"	"XP_003402342.1"	48.802	48.802	1.7e-115	338	"338"	"BBS5"	"B. terrestris"
"NP_689597.1"	"NP_649499.1"	45.125	46.24	1.3e-108	322	"331"	"BBS5"	"D. melanogaster"
"NP_689597.1"	"XP_037302232.1"	50.148	50.148	7.82e-121	352	"352"	"BBS5"	"M. sexta"
"NP_689597.1"	"XP_016837513.1"	51.19	51.19	3.7e-124	361	"361"	"BBS5"	"N. vitripennis"
"NP_689597.1"	"XP_026829721.1"	50	50	4.37e-114	334	"334"	"BBS5"	"O. biroi"
